,OID_,OBJECTID,HUC10,VALUE_0,VALUE_11,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_45,VALUE_46,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95,TotalPixels,V_0_PERCENT,V_11_PERCENT,V_21_PERCENT,V_22_PERCENT,V_23_PERCENT,V_24_PERCENT,V_31_PERCENT,V_41_PERCENT,V_42_PERCENT,V_43_PERCENT,V_45_PERCENT,V_46_PERCENT,V_52_PERCENT,V_71_PERCENT,V_81_PERCENT,V_82_PERCENT,V_90_PERCENT,V_95_PERCENT,TotalPercents
0,,1,207000508,0.0,2953800.0,27017100.0,14185799.999999998,2851200.0,892800.0,412200.0,287929800.00000006,10719000.0,88591500.0,2204100.0,2746800.0,0.0,54000.0,97591500.00000001,38989800.0,229500.0,78300.0,577447200.0,0.0,0.005115272876896797,0.046787134823755315,0.024566401915188087,0.004937594294335482,0.001546115385094949,0.0007138314983603695,0.49862532886123623,0.01856273612548472,0.15341922170546501,0.003816972356953155,0.004756798543659057,0.0,9.351504345332353e-05,0.16900506228101897,0.0675209785414147,0.00039743893467662496,0.0001355968130073191,1.0
1,,2,207000509,0.0,5448600.0,31032899.999999996,15717600.0,2500199.9999999995,684000.0,104400.0,217750500.0,20266200.0,100464300.0,1454400.0,3810600.0,0.0,106200.0,146512800.0,18230400.0,19800.0,49500.0,564152400.0,0.0,0.009658028575257323,0.05500800847430587,0.027860556828261298,0.004431781199548206,0.001212438341129099,0.00018505637838286252,0.385978150584842,0.03592327179676981,0.17808007198054993,0.0025780267885060844,0.006754557810974482,0.0,0.00018824700559636013,0.25970429266985307,0.03231467241830399,3.5096899348473925e-05,8.774224837118481e-05,0.9999999999999999
2,,3,208020801,0.0,53783100.00000001,43479000.0,24677100.0,12934800.0,3316500.0,1271699.9999999998,13520700.0,68760000.0,49256100.0,9792899.999999998,4786200.0,4714200.0,2062800.0,2464199.9999999995,124560900.00000001,145297799.99999997,16719300.0,581397300.0,0.0,0.0925066215477781,0.07478362902614098,0.04244446955636017,0.022247781336445834,0.0057043608561649665,0.0021873166593652906,0.023255525954454896,0.11826680309660881,0.08472020767898303,0.016843731472437177,0.008232236372614733,0.008108396788220378,0.003548004092898264,0.0042384097758967915,0.2142440289970387,0.24991137729741775,0.028757099491174106,1.0
3,,4,208020603,0.0,34247699.99999999,8038800.0,487800.0,70200.0,11700.0,64800.0,15605100.0,80868600.00000001,43500600.0,13735800.000000002,9233100.0,3051900.0,286200.0,906300.0,41651100.0,38178000.0,4132800.0,294070500.0,0.0,0.11646084867404242,0.027336302009212075,0.0016587859033803118,0.00023871826653812606,3.978637775635434e-05,0.00022035532295827022,0.05306584645518676,0.27499732207072797,0.14792575249812545,0.046709207485960004,0.03139757303095686,0.010378123613215199,0.0009732360097323601,0.0030819140308191405,0.14163644432202482,0.12982601110958086,0.014053772819783011,1.0
4,,5,208020606,0.0,40113000.0,18302400.0,5305499.999999999,1749600.0,311400.0,1057500.0,28179000.0,89859600.0,109168200.0,8154899.999999999,8681400.0,4651200.0,401400.0,1393200.0,36600300.00000001,57540600.0,19231200.0,430700400.0,0.0,0.09313434582368625,0.04249450430043715,0.012318307575288992,0.004062220513377745,0.0007230083835538579,0.0024553030366352107,0.06542598985280719,0.20863597990621788,0.25346667892576835,0.018934043246767358,0.020156470716070848,0.010799154121983633,0.0009319703441185566,0.0032347311495415374,0.08497856050284608,0.13359773986743453,0.04465099173346484,1.0
5,,6,207000206,0.0,2388600.0000000005,10554300.0,4684500.0,1257299.9999999998,353700.0,324000.0,167148000.0,1840500.0,21204000.0,2475900.0,1063800.0,0.0,109800.0,27211500.0,3556800.0,87300.0,80100.0,244340100.0,0.0,0.009775718353229783,0.04319512024428246,0.01917204748627016,0.00514569651072419,0.001447572461499361,0.001326020575419262,0.6840792812968481,0.007532533546478863,0.08678067988021614,0.010133007230495527,0.00435376755595991,0.0,0.00044937363944763876,0.11136731138278162,0.014556759205713676,0.0003572888772657456,0.00032782175336753974,0.9999999999999999
6,,7,208010301,0.0,926100.0,11911500.0,509400.0,36900.0,6300.0,18000.0,172020600.00000003,2539800.0000000005,29839500.000000004,479700.0,1782000.0,0.0,41400.0,96192000.0,3606300.0,378900.0,54000.0,320342400.0,0.0,0.0028909691629955946,0.037183650993437026,0.0015901735143396566,0.00011518924750516947,1.9666456891126496e-05,5.618987683178998e-05,0.5369897959183675,0.007928391620965569,0.09314876831789985,0.0014974602175672031,0.005562797806347208,0.0,0.00012923671671311696,0.30027870178908567,0.011257641823249124,0.0011827969073091792,0.00016856963049536995,1.0
7,,8,208010302,0.0,1177200.0,23408100.0,2550599.9999999995,765900.0,80100.0,230400.0,108963000.0,6711299.999999999,62904600.00000001,2130300.0,3045600.0,149400.0,76500.0,108057600.0,19052100.0,3153600.0,360900.0,342817200.0,0.0,0.00343390004935575,0.06828157980404717,0.0074401167736041236,0.0022341352767597427,0.00023365222048368634,0.0006720782971216146,0.3178457790332574,0.019576905709515157,0.18349312694928963,0.006214098942526804,0.008884034990076345,0.00043580077078979703,0.00022315099709116113,0.3152047213500373,0.055575099499091646,0.009199071691852101,0.0010527476451006542,1.0
8,,9,208010311,0.0,6148800.0,24639300.0,3927600.0,936900.0,264600.0,192600.0,119657700.00000001,26279100.0,101414700.0,8056800.0,9580500.0,1332000.0,248400.0,59608800.00000001,14636700.0,6777900.000000001,325800.0,384028200.0,0.0,0.016011324168381386,0.06416013199030696,0.01022737392722722,0.0024396645871318824,0.0006890119006885432,0.0005015256692086675,0.31158571167429894,0.06843013091226113,0.26408138777308543,0.02097970930259809,0.02494738667629096,0.0034684952823777005,0.0006468274986055711,0.1552198510421891,0.03811360728196523,0.0176494851159368,0.0008483751974464375,1.0
9,,10,208010501,0.0,4432500.0,27320399.999999996,6276600.0,1957500.0,515700.0,1097100.0,101364300.0,50930100.0,103158900.0,21903300.0,8973900.000000002,6274800.0,309600.0,38566800.0,11884500.0,43351200.0,699300.0,429016500.0,0.0,0.010331770456381048,0.06368146679673159,0.014630206530518056,0.004562761572107366,0.001202051669341389,0.0025572443017925885,0.236271332221488,0.1187136159098776,0.2404543881179395,0.051054679715115854,0.020917377303670142,0.01462601088769313,0.000721650565887326,0.0898958431668712,0.02770173175157599,0.10104786179552534,0.001630007237483873,1.0
